Area,Baths,Bedrooms,Price,location
7 Marla,3,3,PKR2.4 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,5,5,PKR3.9 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR4.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR2.35 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR5.7 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR4.8 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5.1 Marla,2,1,PKR1.04 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR1.89 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,5,5,PKR3.25 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.4 Crore,"Bahria Town, Islamabad, Islamabad Capital"
4 Kanal,7,9,PKR16.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR1.9 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR2.4 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR4.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR3.15 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR5.35 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR4.65 Crore,"Bahria Town, Islamabad, Islamabad Capital"
7 Marla,3,2,PKR1.63 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2 Marla,1,1,PKR59 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR5.25 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,4,5,PKR3.2 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR4.6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR2.55 Crore,"Bahria Town, Islamabad, Islamabad Capital"
6.4 Marla,3,2,PKR1.49 Crore,"Bahria Town, Islamabad, Islamabad Capital"
12 Marla,6,5,PKR6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.4 Crore,"Bahria Town, Islamabad, Islamabad Capital"
1.7 Kanal,6,6,PKR10.95 Crore,"Bahria Town, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR12.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR6.3 Crore,"Bahria Town, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR11 Crore,"Bahria Town, Islamabad, Islamabad Capital"
7.5 Marla,3,3,PKR1.3 Crore,"Bahria Town, Islamabad, Islamabad Capital"
7.5 Marla,3,3,PKR1.3 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2.3 Marla,1,1,PKR65 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.52 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,6,5,PKR3.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR4.6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
